v004
ID,NAME,GENDER,RARITY,MODEL,WEAPON,ELEMENT,REGION
AETHER,Aether,MALE,5,MEDIUM,SWORD,NONE,NONE
ALBEDO,Albedo,MALE,5,MEDIUM,SWORD,GEO,MONDSTADT
ALHAITHAM,Alhaitham,MALE,5,TALL,SWORD,DENDRO,SUMERU
ALOY,Aloy,FEMALE,5,MEDIUM,BOW,CRYO,NONE
AMBER,Amber,FEMALE,4,MEDIUM,BOW,PYRO,MONDSTADT
ARATAKI_ITTO,Arataki Itto,MALE,5,TALL,CLAYMORE,GEO,INAZUMA
ARLECCHINO,Arlecchino,FEMALE,5,TALL,POLEARM,PYRO,SNEZHNAYA
BAIZHU,Baizhu,MALE,5,TALL,CATALYST,DENDRO,LIYUE
BARBARA,Barbara,FEMALE,4,MEDIUM,CATALYST,HYDRO,MONDSTADT
BEIDOU,Beidou,FEMALE,4,TALL,CLAYMORE,ELECTRO,LIYUE
BENNETT,Bennett,MALE,4,MEDIUM,SWORD,PYRO,MONDSTADT
CANDACE,Candace,FEMALE,4,TALL,POLEARM,HYDRO,SUMERU
CHARLOTTE,Charlotte,FEMALE,4,MEDIUM,CATALYST,CRYO,FONTAINE
CHASCA,Chasca,FEMALE,5,TALL,BOW,ANEMO,NATLAN
CHEVREUSE,Chevreuse,FEMALE,4,MEDIUM,POLEARM,PYRO,FONTAINE
CHIORI,Chiori,FEMALE,5,MEDIUM,SWORD,GEO,INAZUMA
CHONGYUN,Chongyun,MALE,4,MEDIUM,CLAYMORE,CRYO,LIYUE
CITLALI,Citlali,FEMALE,5,MEDIUM,CATALYST,CRYO,NATLAN
CLORINDE,Clorinde,FEMALE,5,TALL,SWORD,ELECTRO,FONTAINE
COLLEI,Collei,FEMALE,4,MEDIUM,BOW,DENDRO,SUMERU
CYNO,Cyno,MALE,5,MEDIUM,POLEARM,ELECTRO,SUMERU
DAHLIA,Dahlia,MALE,4,MEDIUM,SWORD,HYDRO,MONDSTADT
DEHYA,Dehya,FEMALE,5,TALL,CLAYMORE,PYRO,SUMERU
DILUC,Diluc,MALE,5,TALL,CLAYMORE,PYRO,MONDSTADT
DIONA,Diona,FEMALE,4,SHORT,BOW,CRYO,MONDSTADT
DORI,Dori,FEMALE,4,SHORT,CLAYMORE,ELECTRO,SUMERU
EMILIE,Emilie,FEMALE,5,MEDIUM,POLEARM,DENDRO,FONTAINE
ESCOFFIER,Escoffier,FEMALE,5,MEDIUM,POLEARM,CRYO,FONTAINE
EULA,Eula,FEMALE,5,TALL,CLAYMORE,CRYO,MONDSTADT
FARUZAN,Faruzan,FEMALE,4,MEDIUM,BOW,ANEMO,SUMERU
FISCHL,Fischl,FEMALE,4,MEDIUM,BOW,ELECTRO,MONDSTADT
FREMINET,Freminet,MALE,4,MEDIUM,CLAYMORE,CRYO,FONTAINE
FURINA,Furina,FEMALE,5,MEDIUM,SWORD,HYDRO,FONTAINE
GAMING,Gaming,MALE,4,MEDIUM,CLAYMORE,PYRO,LIYUE
GANYU,Ganyu,FEMALE,5,MEDIUM,BOW,CRYO,LIYUE
GOROU,Gorou,MALE,4,MEDIUM,BOW,GEO,INAZUMA
HU_TAO,Hu Tao,FEMALE,5,MEDIUM,POLEARM,PYRO,LIYUE
IANSAN,Iansan,FEMALE,4,SHORT,POLEARM,ELECTRO,NATLAN
IFA,Ifa,MALE,4,TALL,CATALYST,ANEMO,NATLAN
INEFFA,Ineffa,FEMALE,5,MEDIUM,POLEARM,ELECTRO,NOD_KRAI
JEAN,Jean,FEMALE,5,TALL,SWORD,ANEMO,MONDSTADT
KACHINA,Kachina,FEMALE,4,SHORT,POLEARM,GEO,NATLAN
KAEDEHARA_KAZUHA,Kaedehara Kazuha,MALE,5,MEDIUM,SWORD,ANEMO,INAZUMA
KAEYA,Kaeya,MALE,4,TALL,SWORD,CRYO,MONDSTADT
KAMISATO_AYAKA,Kamisato Ayaka,FEMALE,5,MEDIUM,SWORD,CRYO,INAZUMA
KAMISATO_AYATO,Kamisato Ayato,MALE,5,TALL,SWORD,HYDRO,INAZUMA
KAVEH,Kaveh,MALE,4,TALL,CLAYMORE,DENDRO,SUMERU
KEQING,Keqing,FEMALE,5,MEDIUM,SWORD,ELECTRO,LIYUE
KINICH,Kinich,MALE,5,MEDIUM,CLAYMORE,DENDRO,NATLAN
KIRARA,Kirara,FEMALE,4,MEDIUM,SWORD,DENDRO,INAZUMA
KLEE,Klee,FEMALE,5,SHORT,CATALYST,PYRO,MONDSTADT
KUJOU_SARA,Kujou Sara,FEMALE,4,TALL,BOW,ELECTRO,INAZUMA
KUKI_SHINOBU,Kuki Shinobu,FEMALE,4,MEDIUM,SWORD,ELECTRO,INAZUMA
LAN_YAN,Lan Yan,FEMALE,4,MEDIUM,CATALYST,ANEMO,LIYUE
LAYLA,Layla,FEMALE,4,MEDIUM,SWORD,CRYO,SUMERU
LISA,Lisa,FEMALE,4,TALL,CATALYST,ELECTRO,MONDSTADT
LUMINE,Lumine,FEMALE,5,MEDIUM,SWORD,NONE,NONE
LYNETTE,Lynette,FEMALE,4,MEDIUM,SWORD,ANEMO,FONTAINE
LYNEY,Lyney,MALE,5,MEDIUM,BOW,PYRO,FONTAINE
MAVUIKA,Mavuika,FEMALE,5,TALL,CLAYMORE,PYRO,NATLAN
MIKA,Mika,MALE,4,MEDIUM,POLEARM,CRYO,MONDSTADT
MONA,Mona,FEMALE,5,MEDIUM,CATALYST,HYDRO,MONDSTADT
MUALANI,Mualani,FEMALE,5,MEDIUM,CATALYST,HYDRO,NATLAN
NAHIDA,Nahida,FEMALE,5,SHORT,CATALYST,DENDRO,SUMERU
NAVIA,Navia,FEMALE,5,TALL,CLAYMORE,GEO,FONTAINE
NEUVILLETTE,Neuvillette,MALE,5,TALL,CATALYST,HYDRO,FONTAINE
NILOU,Nilou,FEMALE,5,MEDIUM,SWORD,HYDRO,SUMERU
NINGGUANG,Ningguang,FEMALE,4,TALL,CATALYST,GEO,LIYUE
NOELLE,Noelle,FEMALE,4,MEDIUM,CLAYMORE,GEO,MONDSTADT
ORORON,Ororon,MALE,4,TALL,BOW,ELECTRO,NATLAN
QIQI,Qiqi,FEMALE,5,SHORT,SWORD,CRYO,LIYUE
PAIMON,Paimon,FEMALE,0,SHORT,NPC,NONE,NONE
RAIDEN_SHOGUN,Raiden Shogun,FEMALE,5,TALL,POLEARM,ELECTRO,INAZUMA
RAZOR,Razor,MALE,4,MEDIUM,CLAYMORE,ELECTRO,MONDSTADT
ROSARIA,Rosaria,FEMALE,4,TALL,POLEARM,CRYO,MONDSTADT
SANGONOMIYA_KOKOMI,Sangonomiya Kokomi,FEMALE,5,MEDIUM,CATALYST,HYDRO,INAZUMA
SAYU,Sayu,FEMALE,4,SHORT,CLAYMORE,ANEMO,INAZUMA
SETHOS,Sethos,MALE,4,MEDIUM,BOW,ELECTRO,SUMERU
SHENHE,Shenhe,FEMALE,5,TALL,POLEARM,CRYO,LIYUE
SHIKANOIN_HEIZOU,Shikanoin Heizou,MALE,4,MEDIUM,CATALYST,ANEMO,INAZUMA
SIGEWINNE,Sigewinne,FEMALE,5,SHORT,BOW,HYDRO,FONTAINE
SKIRK,Skirk,FEMALE,5,MEDIUM,SWORD,CRYO,NONE
SUCROSE,Sucrose,FEMALE,4,MEDIUM,CATALYST,ANEMO,MONDSTADT
TARTAGLIA,Tartaglia,MALE,5,TALL,BOW,HYDRO,SNEZHNAYA
THOMA,Thoma,MALE,4,TALL,POLEARM,PYRO,INAZUMA
TIGHNARI,Tighnari,MALE,5,TALL,BOW,DENDRO,SUMERU
VARESA,Varesa,FEMALE,5,MEDIUM,CATALYST,ELECTRO,NATLAN
VENTI,Venti,MALE,5,MEDIUM,BOW,ANEMO,MONDSTADT
WANDERER,Wanderer,MALE,5,MEDIUM,CATALYST,ANEMO,SUMERU
WRIOTHESLEY,Wriothesley,MALE,5,TALL,CATALYST,CRYO,FONTAINE
XIANGLING,Xiangling,FEMALE,4,MEDIUM,POLEARM,PYRO,LIYUE
XIANYUN,Xianyun,FEMALE,5,TALL,CATALYST,ANEMO,LIYUE
XIAO,Xiao,MALE,5,MEDIUM,POLEARM,ANEMO,LIYUE
XILONEN,Xilonen,FEMALE,5,TALL,SWORD,GEO,NATLAN
XINGQIU,Xingqiu,MALE,4,MEDIUM,SWORD,HYDRO,LIYUE
XINYAN,Xinyan,FEMALE,4,MEDIUM,CLAYMORE,PYRO,LIYUE
YAE_MIKO,Yae Miko,FEMALE,5,TALL,CATALYST,ELECTRO,INAZUMA
YANFEI,Yanfei,FEMALE,4,MEDIUM,CATALYST,PYRO,LIYUE
YAOYAO,Yaoyao,FEMALE,4,SHORT,POLEARM,DENDRO,LIYUE
YELAN,Yelan,FEMALE,5,TALL,BOW,HYDRO,LIYUE
YOIMIYA,Yoimiya,FEMALE,5,MEDIUM,BOW,PYRO,INAZUMA
YUMEMIZUKI_MIZUKI,Yumemizuki Mizuki,FEMALE,5,MEDIUM,CATALYST,ANEMO,INAZUMA
YUNJIN,Yunjin,FEMALE,4,MEDIUM,POLEARM,GEO,LIYUE
ZHONGLI,Zhongli,MALE,5,TALL,POLEARM,GEO,LIYUE
